Filename	Population Size	Mutation Rate	Selection Size	Avg Column 1	Avg Column 2	Avg Column 3	Overall Mean
GA_results_100_0.2_10.txt	100	0.2	10	9219.00	5464.50	4227.10	6303.53
GA_results_100_0.2_5.txt	100	0.2	5	7411.80	4692.20	3647.60	5250.53
GA_results_100_0.2_50.txt	100	0.2	50	9132.70	5790.50	3571.90	6165.03
GA_results_100_0.5_10.txt	100	0.5	10	7955.40	4493.60	3249.60	5232.87
GA_results_100_0.5_5.txt	100	0.5	5	8629.60	4703.60	3481.80	5605.00
GA_results_100_0.5_50.txt	100	0.5	50	7316.20	4156.80	3146.60	4873.20
GA_results_100_1.0_10.txt	100	1.0	10	6736.50	3666.50	3070.40	4491.13
GA_results_100_1.0_5.txt	100	1.0	5	5709.20	3798.50	3083.80	4197.17
GA_results_100_1.0_50.txt	100	1.0	50	6494.50	3912.40	3102.60	4503.17
GA_results_200_0.2_10.txt	200	0.2	10	8489.40	4544.80	3677.40	5570.53
GA_results_200_0.2_5.txt	200	0.2	5	8029.10	5735.70	3438.60	5734.47
GA_results_200_0.2_50.txt	200	0.2	50	9219.20	6604.10	3330.50	6384.60
